Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_A,18.67,23.38,56.68,92412,84%,12.31,19.19,35.29,87%,66%,79%,62%,84%,91%,71%,99%,85%,86%,61%,70%,71%,77%,97%,99%,64%,89%,81%,70%,62%,96%,95%
Field_E,38.44,28.29,60.09,39749,94%,37.81,17.26,21.74,83%,79%,83%,73%,94%,66%,89%,68%,92%,87%,98%,81%,96%,89%,70%,75%,76%,76%,72%,81%,67%,98%,62%
Field_A,20.45,33.06,33.93,54267,68%,43.93,11.85,11.67,91%,82%,72%,74%,94%,69%,91%,90%,96%,67%,76%,60%,93%,90%,100%,79%,88%,94%,79%,90%,100%,90%,79%
Field_C,35.94,31.78,41.04,95753,92%,47.35,13.94,36.56,92%,98%,81%,77%,62%,60%,99%,90%,98%,97%,87%,87%,76%,96%,99%,79%,65%,71%,86%,97%,62%,80%,94%
Field_D,32.72,33.85,54.08,51837,62%,14.81,10.78,28.41,99%,83%,73%,98%,77%,81%,99%,77%,77%,70%,96%,63%,100%,95%,66%,91%,88%,63%,92%,92%,63%,83%,86%
Field_C,15.49,22.98,39.7,81909,86%,42.05,15.04,32.53,72%,92%,64%,95%,61%,99%,83%,84%,82%,82%,78%,82%,93%,90%,95%,77%,96%,81%,83%,67%,86%,91%,91%
Field_E,18.51,22.26,34.42,27294,76%,46.68,17.58,37.34,75%,66%,85%,61%,72%,92%,92%,89%,73%,72%,68%,80%,92%,62%,94%,68%,81%,85%,77%,70%,69%,94%,67%
Field_D,12.19,23.38,56.49,78406,79%,16.82,8.22,39.38,96%,88%,67%,93%,71%,65%,98%,78%,91%,77%,67%,70%,71%,65%,75%,76%,66%,86%,73%,99%,84%,86%,88%
Field_A,38.68,29.06,61.11,10726,89%,42.96,5.55,34.99,95%,61%,87%,70%,69%,68%,65%,100%,96%,99%,75%,79%,87%,74%,62%,83%,70%,61%,64%,86%,96%,60%,62%
Field_A,32.43,21.7,57.87,96674,86%,16.02,9.68,15.44,87%,94%,73%,82%,77%,85%,64%,85%,90%,61%,81%,87%,86%,84%,99%,75%,82%,93%,75%,90%,99%,93%,100%
Field_C,32.7,24.86,39.3,11528,86%,17.7,9.31,28.32,87%,81%,73%,81%,80%,66%,75%,84%,84%,86%,73%,76%,93%,67%,81%,68%,66%,93%,89%,95%,82%,73%,89%
Field_C,34.45,20.78,30.45,63606,97%,27.89,9.81,30.91,80%,82%,81%,81%,97%,89%,80%,74%,91%,63%,65%,71%,65%,92%,70%,63%,66%,61%,60%,65%,92%,87%,94%
Field_D,12.99,23.89,62.47,82391,62%,17.27,24.62,35.45,60%,80%,63%,79%,61%,87%,92%,65%,61%,92%,60%,61%,85%,60%,68%,76%,98%,66%,82%,85%,78%,81%,91%
Field_A,29.0,22.87,50.02,41413,66%,11.74,7.69,27.39,64%,80%,82%,93%,64%,64%,79%,100%,90%,95%,100%,77%,95%,68%,75%,76%,94%,83%,73%,64%,66%,89%,72%
Field_A,22.86,27.63,39.83,62053,86%,25.5,9.52,28.0,84%,80%,82%,90%,87%,84%,99%,67%,75%,77%,84%,63%,67%,72%,75%,66%,76%,100%,72%,97%,75%,99%,90%
Field_B,31.1,28.62,64.29,75309,65%,17.38,14.0,15.1,85%,98%,68%,60%,69%,82%,76%,71%,73%,100%,89%,97%,73%,87%,88%,96%,74%,74%,85%,84%,67%,62%,86%
Field_D,34.78,20.89,50.17,23426,86%,13.75,13.25,33.27,72%,95%,87%,95%,95%,68%,94%,79%,96%,91%,77%,93%,62%,88%,73%,66%,93%,82%,85%,62%,64%,79%,69%
Field_E,23.09,33.81,53.33,50139,95%,48.1,7.49,36.68,83%,98%,93%,61%,62%,64%,76%,96%,94%,63%,77%,91%,72%,83%,77%,94%,64%,69%,66%,60%,97%,60%,74%
Field_E,23.82,28.03,34.47,48476,69%,29.73,10.51,26.72,69%,83%,85%,85%,72%,92%,88%,89%,66%,82%,78%,64%,65%,62%,89%,77%,97%,85%,91%,94%,99%,62%,85%
Field_A,24.91,29.11,39.71,49340,80%,40.73,22.67,21.13,87%,80%,96%,93%,67%,88%,97%,99%,64%,90%,92%,100%,68%,62%,68%,81%,94%,78%,67%,83%,70%,94%,79%
Field_E,15.4,21.72,66.49,11826,94%,27.88,21.22,22.46,92%,72%,100%,77%,90%,100%,77%,64%,65%,84%,100%,77%,77%,60%,93%,80%,89%,61%,71%,68%,90%,88%,62%
Field_A,18.35,29.43,57.67,18048,93%,45.75,7.83,16.25,75%,61%,99%,65%,68%,77%,81%,60%,86%,72%,98%,84%,97%,79%,71%,70%,88%,97%,68%,84%,87%,64%,96%
Field_B,17.58,25.96,62.22,15775,87%,22.89,12.23,33.64,99%,85%,95%,99%,94%,92%,74%,77%,85%,92%,66%,70%,95%,93%,66%,78%,88%,86%,96%,75%,83%,73%,91%
Field_C,16.19,24.98,41.69,40951,93%,16.21,5.81,21.29,62%,67%,87%,90%,80%,79%,89%,91%,85%,68%,88%,89%,78%,97%,97%,89%,87%,60%,98%,81%,66%,61%,100%
Field_D,23.77,34.76,66.45,58935,63%,42.89,7.66,32.68,89%,71%,83%,80%,82%,60%,81%,91%,92%,86%,92%,73%,76%,79%,79%,94%,98%,88%,66%,93%,85%,70%,75%
Field_C,33.3,21.13,35.48,59937,97%,34.25,24.53,12.08,60%,86%,95%,83%,79%,89%,62%,72%,70%,63%,89%,99%,100%,80%,77%,93%,77%,65%,72%,67%,76%,64%,99%
Field_C,18.18,22.05,51.58,74104,84%,29.95,12.81,22.49,94%,75%,95%,79%,63%,83%,65%,93%,89%,96%,65%,94%,74%,91%,91%,92%,83%,94%,78%,82%,69%,81%,73%
Field_A,30.99,28.84,52.49,43581,75%,36.31,20.35,30.59,78%,78%,73%,85%,61%,92%,62%,61%,91%,84%,90%,69%,67%,77%,88%,99%,77%,78%,80%,80%,61%,78%,75%
Field_C,38.33,23.12,62.98,84839,99%,39.37,13.96,20.44,63%,78%,76%,97%,63%,72%,75%,66%,68%,83%,71%,68%,98%,61%,60%,61%,97%,98%,75%,87%,73%,93%,89%
Field_B,24.82,30.67,31.07,63530,65%,47.57,18.41,16.97,88%,98%,87%,99%,63%,61%,73%,90%,98%,94%,87%,63%,61%,74%,85%,60%,71%,74%,73%,69%,65%,83%,65%
Field_B,22.6,24.99,58.33,43113,71%,33.13,9.04,37.21,88%,90%,85%,92%,76%,68%,84%,74%,92%,73%,81%,93%,74%,79%,75%,76%,75%,86%,83%,84%,71%,96%,99%
Field_A,17.12,31.85,61.99,64367,70%,36.37,23.91,21.77,87%,72%,81%,76%,94%,99%,61%,61%,82%,87%,88%,67%,82%,63%,69%,64%,73%,70%,62%,67%,79%,93%,74%
Field_E,39.53,25.27,66.98,96390,73%,28.01,9.47,15.64,87%,98%,99%,95%,92%,87%,75%,63%,68%,68%,90%,94%,100%,97%,62%,70%,66%,64%,84%,85%,76%,75%,72%
Field_C,18.96,21.22,65.94,58104,78%,29.41,21.04,15.2,87%,98%,98%,99%,79%,63%,76%,72%,84%,77%,90%,69%,77%,65%,97%,94%,78%,77%,88%,69%,74%,85%,66%
Field_E,39.59,20.08,57.23,49217,66%,48.95,23.5,16.69,73%,91%,69%,93%,83%,71%,96%,64%,80%,89%,68%,63%,88%,95%,79%,98%,93%,83%,61%,74%,85%,99%,80%
Field_A,28.58,32.45,48.24,81558,78%,44.2,21.95,26.67,98%,66%,89%,100%,76%,86%,94%,87%,75%,87%,61%,88%,94%,76%,68%,83%,69%,91%,96%,100%,85%,79%,91%
Field_D,31.33,29.23,68.63,29136,74%,10.91,21.98,17.83,82%,99%,81%,98%,100%,67%,76%,88%,84%,72%,81%,92%,88%,91%,69%,71%,91%,79%,88%,83%,84%,97%,96%
Field_D,14.24,27.16,51.44,61764,94%,29.98,15.18,23.57,88%,94%,63%,75%,77%,86%,65%,96%,97%,90%,87%,90%,76%,75%,97%,83%,87%,92%,83%,71%,83%,91%,91%
Field_C,30.48,29.49,48.05,24803,86%,41.67,20.35,20.3,65%,84%,91%,84%,78%,77%,90%,83%,86%,74%,100%,61%,63%,82%,60%,69%,95%,85%,77%,89%,100%,82%,62%
Field_D,32.62,27.3,64.19,37639,63%,29.52,8.38,16.32,94%,68%,76%,75%,67%,72%,65%,86%,61%,87%,84%,66%,90%,64%,84%,96%,74%,94%,67%,61%,80%,90%,97%
Field_E,27.73,29.52,55.35,16701,96%,48.58,19.77,21.33,96%,74%,69%,86%,64%,64%,83%,89%,64%,63%,92%,62%,67%,96%,85%,78%,89%,73%,87%,97%,86%,68%,97%
Field_A,25.66,28.0,62.74,98931,91%,38.99,22.45,16.81,79%,94%,70%,85%,97%,86%,92%,62%,73%,76%,89%,87%,100%,93%,86%,60%,62%,88%,67%,88%,98%,83%,84%
Field_D,21.39,27.16,51.15,43978,80%,22.24,19.13,25.33,68%,94%,66%,72%,87%,79%,85%,80%,94%,69%,82%,77%,70%,78%,88%,89%,86%,90%,70%,96%,73%,62%,87%
Field_E,27.4,33.47,51.36,19299,94%,46.35,23.9,30.07,88%,86%,88%,69%,64%,94%,61%,60%,79%,80%,66%,87%,68%,84%,97%,62%,82%,72%,90%,75%,100%,74%,91%
Field_B,27.2,32.58,49.07,67799,63%,43.01,7.55,19.39,85%,72%,98%,94%,75%,81%,87%,98%,92%,98%,88%,97%,97%,89%,63%,61%,87%,61%,64%,94%,82%,72%,74%
Field_E,35.19,31.37,48.98,83502,80%,24.09,7.57,29.9,74%,73%,61%,70%,94%,94%,97%,65%,90%,88%,73%,88%,70%,71%,100%,83%,78%,60%,68%,94%,70%,96%,78%
Field_C,39.48,25.76,49.71,67204,75%,48.01,6.15,26.1,83%,76%,79%,87%,78%,86%,70%,60%,92%,65%,100%,60%,75%,69%,77%,79%,88%,85%,95%,89%,92%,69%,94%
Field_E,15.16,31.22,41.01,12918,85%,15.3,13.48,18.78,95%,62%,68%,69%,77%,97%,62%,86%,71%,95%,81%,70%,76%,81%,89%,64%,74%,76%,61%,78%,72%,84%,84%
Field_D,29.46,21.72,43.41,59523,90%,22.87,21.19,35.96,62%,94%,75%,84%,84%,66%,86%,95%,92%,82%,66%,68%,85%,65%,65%,94%,98%,92%,88%,60%,92%,63%,66%
Field_A,29.15,28.82,64.13,11230,60%,37.13,12.95,15.71,98%,81%,76%,63%,82%,95%,92%,85%,70%,93%,100%,90%,81%,98%,72%,89%,71%,72%,79%,77%,87%,91%,60%
Field_D,16.32,24.63,43.46,50615,90%,29.15,14.94,28.16,94%,70%,64%,93%,83%,80%,97%,95%,99%,72%,61%,99%,63%,72%,84%,61%,79%,75%,76%,78%,86%,63%,62%
Field_B,12.08,20.69,31.01,28525,70%,12.13,14.69,37.17,87%,70%,66%,81%,67%,84%,78%,84%,89%,92%,100%,83%,86%,79%,79%,96%,90%,64%,82%,67%,99%,96%,98%
Field_B,14.62,29.44,45.75,59092,98%,47.77,12.48,30.36,93%,94%,66%,84%,61%,68%,87%,93%,94%,66%,78%,96%,75%,90%,94%,78%,64%,83%,77%,97%,88%,60%,87%
Field_D,29.83,20.71,43.23,86053,89%,11.53,13.78,25.55,96%,95%,73%,75%,78%,67%,63%,68%,77%,87%,97%,63%,96%,78%,77%,78%,71%,78%,66%,91%,74%,94%,97%
Field_C,17.35,22.8,60.06,37906,71%,44.59,11.14,27.23,86%,67%,96%,84%,92%,88%,81%,67%,91%,86%,83%,98%,71%,80%,84%,65%,70%,100%,66%,72%,69%,97%,88%
Field_B,33.05,23.26,49.44,80932,94%,39.79,24.32,37.28,87%,98%,60%,90%,70%,89%,92%,98%,80%,87%,79%,90%,71%,60%,74%,97%,65%,65%,60%,78%,78%,66%,81%
Field_A,17.11,31.26,44.85,64525,64%,35.07,10.53,23.67,83%,67%,100%,89%,81%,74%,61%,68%,88%,91%,63%,66%,69%,70%,73%,76%,76%,83%,81%,69%,99%,90%,92%
Field_A,19.99,25.85,30.1,59897,94%,46.87,13.69,10.69,83%,90%,92%,89%,81%,70%,70%,92%,81%,73%,77%,80%,81%,68%,92%,75%,99%,97%,64%,82%,64%,85%,94%
Field_B,35.94,34.28,36.56,54016,69%,10.75,21.24,39.51,89%,88%,80%,91%,88%,63%,63%,81%,71%,92%,70%,61%,61%,86%,81%,94%,87%,66%,68%,88%,61%,93%,90%
Field_C,37.4,20.21,41.35,84185,97%,48.66,18.42,35.94,98%,81%,79%,62%,88%,73%,67%,72%,83%,78%,68%,75%,61%,80%,96%,66%,96%,63%,64%,72%,71%,86%,83%
Field_A,32.58,33.03,37.51,97361,67%,26.69,22.24,23.15,76%,64%,87%,81%,100%,68%,70%,83%,100%,81%,98%,80%,98%,99%,70%,63%,65%,79%,89%,62%,80%,87%,81%
Field_D,12.16,21.94,42.38,96526,100%,10.67,8.6,39.08,81%,75%,64%,99%,91%,83%,60%,94%,78%,81%,67%,73%,82%,100%,98%,70%,62%,90%,78%,100%,81%,80%,62%
Field_D,38.06,24.42,56.95,41674,95%,40.48,16.63,19.31,77%,77%,76%,67%,94%,93%,67%,71%,68%,63%,64%,90%,67%,75%,95%,94%,65%,72%,73%,97%,84%,62%,87%
Field_A,37.97,24.91,49.47,76679,67%,20.51,5.23,23.26,90%,99%,62%,82%,62%,84%,96%,77%,89%,90%,89%,98%,79%,78%,62%,86%,63%,98%,98%,80%,97%,85%,92%
Field_C,27.16,29.7,34.33,76032,88%,23.83,18.6,31.59,82%,79%,68%,99%,92%,61%,63%,69%,78%,100%,94%,63%,69%,89%,71%,100%,81%,60%,88%,99%,70%,94%,85%
Field_D,19.19,34.58,59.36,15316,65%,26.91,9.05,22.55,81%,74%,65%,82%,90%,97%,79%,97%,69%,62%,74%,86%,60%,78%,91%,99%,69%,74%,95%,82%,99%,79%,81%
Field_D,31.46,24.52,40.59,89377,96%,15.71,14.04,39.12,82%,79%,95%,77%,78%,94%,60%,97%,97%,63%,73%,92%,90%,92%,61%,81%,92%,96%,98%,97%,83%,65%,81%
Field_B,37.93,33.11,56.47,57830,82%,47.03,11.23,24.08,97%,65%,75%,88%,99%,83%,75%,67%,79%,78%,71%,73%,85%,62%,91%,73%,76%,89%,66%,96%,87%,67%,78%
Field_A,20.44,33.86,68.53,66916,70%,14.01,22.34,22.07,69%,90%,61%,77%,63%,80%,100%,84%,92%,68%,60%,65%,67%,68%,62%,83%,60%,91%,83%,83%,87%,65%,94%
Field_E,14.2,24.52,44.51,71078,84%,11.02,12.32,32.09,96%,81%,85%,75%,91%,87%,76%,80%,68%,73%,80%,67%,68%,79%,66%,63%,74%,84%,81%,83%,74%,89%,62%
Field_B,29.21,20.12,48.26,68681,95%,16.44,9.58,35.63,92%,62%,60%,71%,80%,96%,87%,64%,96%,60%,97%,96%,79%,79%,68%,82%,100%,68%,97%,72%,69%,73%,66%
Field_D,32.82,21.05,47.2,69385,96%,27.5,6.9,26.64,74%,79%,63%,65%,61%,72%,73%,72%,87%,95%,75%,92%,69%,71%,92%,93%,67%,74%,60%,69%,86%,79%,81%
Field_C,13.28,33.07,49.32,86876,91%,31.04,24.7,36.31,84%,95%,88%,71%,65%,97%,60%,65%,74%,96%,66%,88%,76%,74%,91%,87%,81%,92%,73%,74%,84%,85%,70%
Field_B,31.9,23.6,44.89,72315,76%,49.36,23.6,27.72,78%,87%,91%,85%,88%,67%,79%,89%,62%,66%,91%,70%,97%,66%,76%,65%,94%,99%,71%,83%,90%,68%,71%
Field_A,33.69,23.69,32.82,18717,79%,32.09,18.27,26.23,86%,90%,86%,61%,86%,78%,73%,95%,70%,95%,84%,87%,64%,82%,74%,92%,73%,83%,71%,80%,99%,63%,87%
Field_A,25.42,24.97,63.25,40738,92%,24.75,21.21,15.41,94%,83%,69%,65%,94%,82%,61%,65%,92%,74%,64%,90%,94%,78%,66%,71%,72%,63%,61%,91%,94%,76%,87%
Field_C,14.9,21.36,39.94,76726,79%,34.58,22.57,28.96,87%,79%,86%,100%,64%,96%,78%,61%,90%,92%,88%,81%,85%,76%,90%,93%,81%,80%,99%,62%,62%,77%,90%
Field_C,11.77,26.69,38.76,32367,77%,17.47,21.16,10.54,99%,94%,82%,68%,91%,75%,88%,87%,95%,68%,93%,99%,97%,72%,92%,96%,91%,92%,92%,80%,81%,98%,84%
Field_C,18.26,34.6,65.36,47002,85%,31.64,8.89,12.91,68%,77%,90%,71%,97%,94%,93%,99%,64%,62%,73%,79%,83%,64%,73%,91%,84%,78%,91%,62%,84%,95%,81%
Field_E,11.14,21.45,55.4,79242,88%,41.55,11.25,35.82,94%,61%,73%,62%,70%,79%,93%,73%,60%,76%,84%,72%,88%,62%,87%,95%,95%,63%,89%,90%,76%,78%,81%
Field_A,26.36,34.56,50.48,25775,69%,47.66,7.86,28.4,70%,77%,61%,75%,70%,92%,88%,83%,60%,62%,61%,99%,70%,90%,91%,86%,98%,81%,91%,94%,76%,77%,88%
Field_C,24.08,30.72,54.72,23043,79%,47.1,11.23,36.68,69%,88%,78%,84%,72%,64%,72%,95%,80%,79%,89%,73%,78%,77%,78%,99%,64%,76%,94%,95%,88%,79%,61%
Field_E,34.73,29.12,46.44,28873,90%,33.53,9.17,17.07,88%,71%,100%,83%,68%,63%,79%,85%,75%,97%,76%,78%,100%,86%,60%,63%,70%,88%,85%,61%,90%,71%,87%
Field_E,34.98,27.8,36.02,37653,94%,43.16,12.18,10.73,61%,68%,78%,87%,69%,62%,80%,60%,95%,82%,72%,84%,65%,73%,94%,64%,65%,80%,90%,67%,75%,93%,79%
Field_D,35.26,32.54,66.61,35778,98%,27.74,12.71,18.22,64%,90%,98%,90%,74%,69%,69%,97%,82%,82%,93%,81%,68%,94%,95%,76%,95%,98%,95%,88%,88%,85%,84%
Field_A,37.27,26.97,65.67,22700,62%,36.74,14.62,26.03,61%,74%,83%,68%,75%,91%,81%,97%,91%,85%,91%,80%,89%,99%,76%,92%,100%,81%,98%,94%,97%,76%,84%
Field_A,27.02,21.31,35.14,92191,91%,34.3,18.47,21.17,100%,81%,100%,82%,91%,91%,61%,60%,62%,76%,77%,90%,81%,64%,70%,62%,60%,83%,90%,99%,85%,95%,83%
Field_D,36.9,24.09,67.69,62368,89%,44.86,14.57,31.63,100%,81%,72%,86%,90%,78%,83%,67%,95%,86%,96%,87%,73%,74%,62%,72%,68%,61%,86%,96%,62%,100%,100%
Field_D,11.18,20.5,69.1,25458,98%,39.0,5.4,25.82,91%,83%,97%,69%,96%,92%,92%,82%,90%,97%,81%,94%,82%,63%,66%,60%,79%,92%,75%,88%,64%,64%,61%
Field_E,36.63,27.75,58.84,46477,64%,11.63,15.38,30.06,94%,70%,75%,80%,62%,99%,74%,96%,61%,96%,79%,85%,82%,92%,92%,83%,67%,74%,80%,87%,65%,62%,93%
Field_D,11.0,34.94,49.25,80033,98%,22.4,22.41,22.29,90%,100%,81%,88%,82%,94%,70%,65%,81%,60%,100%,87%,87%,92%,94%,97%,70%,91%,79%,73%,78%,90%,83%
Field_E,31.56,32.15,33.41,59952,100%,48.37,8.89,24.86,61%,66%,68%,93%,76%,94%,60%,78%,75%,78%,61%,81%,92%,84%,80%,99%,95%,96%,91%,88%,78%,69%,61%
Field_B,34.75,31.38,44.32,21343,61%,25.89,11.14,37.26,86%,84%,78%,63%,68%,71%,72%,73%,66%,65%,92%,96%,66%,60%,93%,99%,95%,97%,86%,71%,79%,96%,87%
Field_C,11.81,32.05,38.81,68129,63%,44.95,7.14,39.33,65%,67%,92%,90%,85%,84%,92%,74%,69%,62%,78%,73%,91%,94%,87%,94%,63%,67%,76%,61%,92%,97%,96%
Field_E,18.02,29.49,64.0,99020,80%,11.58,21.24,38.51,69%,100%,98%,92%,90%,93%,99%,85%,67%,89%,70%,87%,74%,80%,66%,72%,81%,84%,61%,86%,99%,67%,79%
Field_C,33.53,33.25,57.94,53274,88%,14.22,18.75,18.72,77%,81%,94%,90%,70%,70%,100%,96%,80%,99%,82%,82%,93%,61%,91%,91%,62%,68%,92%,90%,93%,73%,93%
Field_B,16.08,27.7,35.02,69607,98%,45.66,21.61,24.8,66%,73%,69%,89%,84%,99%,84%,94%,76%,64%,74%,100%,87%,70%,60%,87%,67%,79%,65%,95%,63%,73%,95%
Field_E,15.19,33.11,63.14,47367,75%,46.36,23.38,17.4,74%,64%,73%,91%,68%,80%,66%,71%,61%,83%,87%,77%,77%,94%,84%,95%,75%,78%,66%,76%,90%,100%,72%
Field_E,39.53,28.4,32.24,81427,75%,21.09,6.51,36.21,76%,60%,73%,76%,83%,98%,79%,71%,88%,86%,84%,82%,70%,62%,63%,81%,99%,73%,71%,92%,86%,96%,74%
Field_C,29.66,27.53,46.61,79540,92%,47.26,8.44,14.71,91%,77%,84%,98%,93%,82%,62%,94%,74%,66%,74%,97%,90%,66%,98%,67%,100%,77%,60%,81%,83%,92%,87%
Field_B,11.75,21.31,51.84,68353,86%,15.23,8.69,19.84,88%,85%,83%,63%,67%,86%,80%,76%,76%,95%,83%,97%,71%,63%,66%,78%,99%,94%,83%,85%,86%,76%,85%
Field_B,36.5,32.81,31.51,64506,83%,41.68,17.49,10.26,73%,75%,73%,79%,99%,72%,84%,82%,65%,92%,92%,62%,70%,86%,73%,81%,99%,97%,98%,96%,83%,73%,91%
Field_C,13.66,28.99,52.66,83156,95%,46.61,18.08,35.4,93%,68%,66%,74%,85%,64%,71%,100%,74%,80%,73%,60%,89%,81%,64%,69%,89%,84%,99%,84%,80%,60%,93%
Field_C,32.12,26.08,35.55,55968,86%,27.03,12.55,28.9,98%,79%,78%,72%,76%,98%,71%,72%,72%,84%,82%,67%,62%,62%,78%,81%,94%,93%,84%,88%,62%,60%,73%
Field_E,14.27,32.49,62.45,94805,95%,38.41,18.47,28.68,85%,63%,98%,84%,86%,94%,99%,75%,89%,63%,91%,62%,62%,79%,94%,96%,80%,95%,61%,78%,65%,100%,73%
Field_A,33.72,24.97,47.43,69761,72%,12.08,24.18,16.77,95%,63%,62%,96%,60%,79%,74%,63%,67%,85%,98%,78%,73%,80%,94%,83%,98%,74%,69%,69%,63%,68%,68%
Field_D,23.07,30.21,35.95,53464,75%,27.67,21.76,13.41,79%,93%,96%,98%,71%,90%,72%,80%,79%,64%,66%,66%,60%,90%,65%,69%,76%,85%,93%,63%,87%,92%,78%
Field_A,39.51,26.74,37.61,70668,83%,45.76,7.64,39.53,81%,62%,68%,99%,67%,68%,82%,70%,86%,72%,75%,70%,83%,81%,66%,89%,95%,68%,62%,65%,79%,68%,84%
Field_A,25.4,34.87,35.18,76776,66%,28.94,15.88,37.98,70%,99%,62%,83%,100%,61%,89%,64%,80%,97%,65%,64%,95%,84%,79%,98%,92%,84%,89%,62%,86%,76%,82%
Field_A,11.33,22.19,65.22,24118,65%,44.13,14.59,20.96,87%,64%,77%,97%,99%,64%,89%,91%,99%,81%,69%,66%,94%,98%,76%,61%,86%,94%,99%,95%,94%,86%,63%
Field_A,19.64,34.97,58.54,51035,97%,18.84,17.11,36.93,89%,79%,60%,95%,64%,65%,91%,85%,75%,60%,89%,65%,94%,68%,60%,72%,82%,61%,74%,97%,93%,73%,88%
Field_B,37.45,25.89,42.4,33044,70%,46.19,5.53,32.73,73%,91%,65%,71%,75%,60%,60%,60%,99%,85%,79%,91%,92%,81%,89%,78%,62%,92%,95%,93%,62%,75%,93%
Field_D,19.89,32.18,62.43,61694,92%,12.32,18.97,14.17,87%,91%,97%,62%,69%,62%,94%,71%,73%,95%,93%,72%,62%,88%,87%,63%,75%,90%,60%,75%,72%,66%,64%
Field_B,11.57,20.38,46.8,31533,61%,22.34,12.63,23.46,61%,89%,96%,81%,69%,97%,66%,67%,91%,83%,98%,96%,60%,93%,70%,72%,89%,73%,92%,74%,64%,95%,77%
Field_E,18.06,20.08,36.81,97845,96%,23.81,11.71,18.4,68%,96%,85%,84%,74%,68%,69%,92%,66%,100%,80%,96%,94%,62%,97%,65%,67%,92%,71%,93%,74%,70%,93%
Field_B,39.45,32.28,51.55,84181,69%,20.2,22.67,23.11,74%,85%,64%,94%,96%,82%,73%,65%,71%,64%,94%,83%,90%,90%,99%,99%,91%,88%,93%,64%,98%,66%,92%
Field_B,24.15,34.46,31.97,51239,99%,27.71,17.81,11.69,93%,71%,64%,90%,91%,61%,90%,71%,66%,79%,81%,95%,86%,85%,86%,67%,91%,64%,71%,99%,100%,63%,73%
Field_E,12.1,28.55,50.69,39227,80%,41.96,22.21,30.62,80%,82%,90%,86%,78%,92%,67%,80%,68%,79%,61%,66%,69%,67%,60%,64%,94%,78%,74%,98%,76%,76%,98%
Field_A,26.69,29.19,33.07,90061,89%,27.79,7.24,27.55,60%,81%,82%,72%,94%,66%,70%,92%,69%,93%,81%,71%,70%,61%,98%,92%,66%,86%,82%,97%,60%,77%,96%
Field_E,10.12,34.34,52.56,77393,89%,10.35,15.92,11.19,65%,84%,97%,61%,90%,78%,95%,72%,87%,91%,72%,95%,99%,81%,60%,84%,80%,90%,82%,95%,63%,100%,84%
Field_A,37.62,25.75,34.84,62359,77%,35.28,14.91,36.0,97%,82%,62%,88%,84%,94%,69%,82%,68%,81%,85%,88%,82%,80%,78%,66%,78%,93%,77%,81%,100%,65%,85%
Field_A,22.51,33.5,54.48,20442,94%,10.55,20.36,23.22,68%,74%,76%,91%,73%,63%,100%,65%,93%,63%,90%,81%,86%,89%,76%,60%,85%,60%,99%,61%,90%,72%,88%
Field_B,33.68,22.08,39.07,43413,82%,22.34,10.5,12.89,86%,65%,65%,95%,70%,86%,97%,80%,74%,60%,81%,76%,99%,86%,77%,88%,98%,79%,95%,73%,92%,95%,88%
Field_B,37.04,32.14,48.11,17029,93%,49.74,5.55,15.3,89%,92%,95%,83%,81%,62%,71%,99%,99%,94%,94%,82%,69%,68%,74%,99%,78%,92%,86%,67%,73%,91%,86%
Field_C,29.51,21.88,33.48,81456,73%,34.53,15.99,27.29,79%,82%,73%,96%,82%,96%,64%,93%,71%,60%,74%,75%,86%,65%,85%,82%,89%,79%,84%,67%,73%,82%,87%
Field_E,19.38,30.75,38.51,80713,62%,42.57,15.19,13.63,74%,66%,68%,70%,87%,79%,89%,94%,65%,61%,70%,92%,73%,78%,98%,78%,87%,99%,69%,92%,98%,77%,78%
Field_D,21.69,24.79,61.77,54027,91%,43.71,17.89,23.6,67%,74%,65%,87%,92%,95%,78%,89%,69%,99%,65%,63%,63%,69%,80%,88%,84%,72%,74%,64%,67%,64%,75%
Field_C,18.61,27.42,48.72,49252,71%,18.62,15.54,21.01,64%,75%,80%,72%,62%,64%,60%,93%,89%,71%,76%,78%,100%,82%,99%,91%,84%,62%,95%,80%,83%,99%,93%
Field_D,34.93,22.2,34.94,23075,86%,26.46,20.1,37.49,71%,94%,81%,61%,70%,98%,97%,98%,68%,68%,99%,93%,74%,73%,79%,79%,70%,71%,71%,97%,70%,95%,95%
Field_C,14.37,26.49,68.5,26688,62%,19.37,6.36,29.19,69%,94%,98%,100%,72%,80%,85%,68%,89%,66%,74%,96%,87%,71%,97%,91%,66%,94%,99%,66%,73%,85%,67%
Field_E,14.69,29.97,53.06,98977,100%,12.33,13.87,11.61,91%,78%,80%,80%,61%,99%,79%,78%,68%,93%,61%,86%,100%,70%,78%,82%,68%,75%,82%,73%,99%,86%,74%
Field_E,24.84,22.6,43.43,39910,87%,47.06,23.73,12.27,97%,88%,100%,71%,60%,86%,87%,85%,79%,89%,60%,85%,72%,69%,99%,60%,95%,81%,71%,78%,95%,68%,100%
